Document,TopicID,Topic_model,Name_model,Representation
FROM THE DESK OF MR. JOHN EDWARD.BANK OF AFRICA( B.O.A)OUAGADOUGOU BURKINA FASO.WEST AFRICAN.Dear Friend I am the manager of bill and exchange at the foreign remittance department of bank of africa( B.O.A).In my department we discovered an abandoned sum of US$30m dollars (THIRTY MILLION US DOLLARS) in an account that belongs to one of our foreigncustomer (MR. ANDREAS SCHRANNER from Munich Germany) who died along with his entire family in November 2000 in a plane crash. FOR MORE INFORMATION VISIT THIS SITE BELOWhttp:/ews.bbc.co.uk/1/hi/world/europe/859479.stmSince we got information about his death we have been expecting his next of kin to come over and claim his money because we cannot release it unless some body applies for itas next of kin or relation to the deceased as indicated in our banking gildings and laws but unfortunately we learnt that all his supposed next of kin or relation died alongside with him at the plane crash leaving nobody behind for the claim. It is therefore upon this discovery that I now decided to make this business proposal to you and release the money toyou as the next of kin or relation to the deceased for safety and subsequent disbursement since nobody is coming for it and we don't want this money to go into the banktreasury as unclaimed bill.The banking law and guideline here stipulates that if such money remained unclaimed after six years the money will be transferred into the bank treasury as unclaimed fund. Therequest of foreigner as next of kin in this business is occasioned by the fact that the customer was a foreigner and a Burkinabe cannot stand as next of kin to a foreigner. I agree that 30% of this money will be for you as a respect to the provision of a foreign account 10% willbe set aside for expenses incurred during the business and 60% would be for me Thereafter I will visit your country for disbursement according to the percentage indicatedTherefore to enable the immediate transfer of this fund to you arranged you must apply first to the bank as relation or next of kin of the deceased indicating your bank name your bank account number your private telephone and fax number for easy and effective communication and location where in the money will be remitted.Upon receipt of your reply I will send to you by fax or email the text of the application .I will not fail to bring to your notice this transaction is hitch-free and that you should not entertain any atom of fear as all required arrangements have been made for thetransfer.You should contact me immediately as soon as you receive this letter.Trusting to hear from you immediately.Yours Faithfully MR. JOHN EDWARD.BILL AND EXCHANGE MANAGERBANK OF AFRICA( B.O.A). MSN Hotmail : cr�ez votre adresse e-mail gratuite & � vie !,3,3,3_claim money_receipt reply_indicated banking_unclaimed,"['claim money', 'receipt reply', 'indicated banking', 'unclaimed', 'exchange', 'account', 'receipt', 'banking', 'banking law', 'account number']"
government officials awarded contracts that were grossly over-invoiced to Contractors.The present civilian government set up the Contract ReviewPanel which has the mandate to use the instruments of payments madeavailable to it by the decree setting up the panel to review thesecontracts and if necessary pay those who are being owed outstanding amounts.My colleagues and I have identified quite a huge sum of these funds which are presently floating in the Central Bank of Nigeria ready fordisbursement and would like to divert some of it for our own purposes.However by virtue of our positions as civil servants and members ofthis panel we cannot acquire these funds in our names or in the names ofcompanies that are based in Nigeria. I have therefore been mandated as a matter of trust by my colleagues in the panel to look for a reliableoverseas partner into whose account we can transfer the sum ofU.S.$16 500 000.00(sixteen Million five hundred thousand U.S. Dollars).That is why I am writing you this letter.We have agreed to share the money to be transferred into your account if you agree with our proposition as follows;(i) 10% to the account owner (you).(ii) 80% for us (the panel officials).(iii) 10% to be used in settling all expenses (by both you and us)incidental to the actualisation of this project.We wish to invest our share of the proceeds of this project in foreignstock markets and other business till we are ready and able to haveaccess to them. Please note that this transactionis 100% safe andrisk-free.We intend to effect the transfer within a few days from thedate of receipt of the following information:Your name company�s name address and telephone and fax numbers andyour banking information. The above information will enable us writeletters of claim andjob description respectively. This way we will useyour company�s name to apply for the payment and backdate the award ofthe contract to your company.We are looking forward to doing this transaction with you and we solicitfor your utmost confidentiality in this transaction. Please acknowledgethe receipt of this letter and I will bring you into a more detailedpicture of this transaction when I hear from you.Best regards Dr. Williams BanigoCheck out,1,1,1_foreign account_payment_transferred_contract awarded,"['foreign account', 'payment', 'transferred', 'contract awarded', 'nigerian', 'contract award', 'beneficiary', 'paid', 'national petroleum', 'invoiced']"
Dear Sir A Very Good day to you I am Mrs Mariam Abacha. I got your contact from aclose Associate of mine who works with the NigerianChamber of Commerce and Industry who visited yourcountry for an International Trade Fair upon my questfor a trusted and reliable foreign businessman orcompany. He however gave me the assurance that you can betrusted to handle a transaction of this magnitude.Following the sudden death of my husband General SaniAbacha the late Former Head of State of Nigeria in1998 I have been thrown into a state of utterconfusion frustration and hopelessness by the present civilian administration I have beensubjected to physical and psychological torture by thesecurity agents in the country. As a widow that is so traumatized I have lostconfidence with anybody within the country. You musthave heard over the media reports and the internet onthe recovery of various huge sums of money depositedby my husband in different security firms abroad somecompanies willingly give up their secrets anddisclosed our money confidently lodged there or manyoutright blackmail. In fact the total sum discoveredby the Government so far is in the tune of $700. Milliondollars. And they are not relenting to make me poorfor life. I will give you more information as to thisregard as soon as you reply. I repose great confidencein you hence my approach to you due to securitynetwork placed on my day to day affairs I cannotafford to visit the embassy so that is why I decidedto contact you and I hope you will not betray myconfidence in you. I have deposited the sum of US$35million dollars with a security firm abroad whose nameis withheld for now until we open communication. Ishall be grateful if you could receive this fund intoyour account for safekeeping. This arrangement isknown to you and my family lawyer who shall dealdirectly with you as I am still under house arrest. Iam seriously considering to settle down abroad as soonas this fund get into your account so that I can startall over again if only you wish but if it ispossible just help me in diverting this funds into your bankaccount which will accrue you 20% of this fund. Pleasehonesty is the watchword in this transaction. Andshould you accept my terms kindly send me an emailsignifying your interest to my email box as this isonly safe for me now so that we can commence communication immediately. And upon receipt of yourmessage of interest I shall give you a more detailedpicture of things. In case you don't accept please donot let me out to the security as I am giving you thisinformation in total trust and confidence.NO RISK ISINVOLVED AS IAM STILL IN CONTROL OF MY HUSBANDSAFFAIRS. I will greatly appreciate if you accept myproposal in good faith. Please expedite action. Prefer all further correspondence be sent viapresidentwifeng@indiatimes.com but please copy this email:profadams@usa.comsincerely yours Hajia Mariam Abacha. for certain comfirmations. Please logg into this internet sites and on archive then click on 2001 click on march 10th,10,10,10_account_accounts_seized_contact,"['account', 'accounts', 'seized', 'contact', '000', 'firm', 'nigerian', 'attorney', 'million', 'dollars']"
Dear :sirI am Mr.JACOB UDERIKE an accountant of the standard trustbank Plc Lagos Branch.I have urgent and veryconfidential business proposal for you. I got yourcontact from the world trade center (W.T.C.)regionaloffice in Lagos Nigeria although the details of myintention was not made known to them.On June 6 1999 An American oil consultant/contractorwith the Nigerian National Petroleum Corporation Mr.Trevor made a numbered time (fixed) deposited fortwelve calendar valued atUS$18 000 000.00(eighteenMillion Dorllars) in my branch. Upon maturity I senta routine notification to his forwarding address butgot no reply. After a month I sent a reminder andfinally I discovered from his contact employersNigerian National Petroleum corporation that Mr.Trevordied from an automobile accident. On furtherinvestigation I found out that he did not leave aWILL and all attempts to trace his next of kin werefruitless.I therefore made further investigation and discoveredthat Mr.Trevor did not declare any next of kin in allhis official documents including his Bank Depositpaperwork. This sum of US$18 000 000.00 is stillsitting in the Bank and the interest is being rolledover with the principal sum at the end of each year.Noone will come forward to claim it.According to theNigerian Law at the expiration of 6(six) years themoney will revert to the ownership of the NigerianGovernment if nobody applies to claim the funds.Consequently my proposal is that I will like you as aforeigner to stand in as the next of kin to Mr.Trevorso that the fruits of this old mans labor will not getinto the hands of some corrupt government officials.This is simple;1. I will like you to provide me immediately with yourfull names and address so that the attorney willprepare the necessary documents and affidavits whichwill put you in place as the next of kin.2 your privet telephone and fax number for rasycommunication The money will be paid into your accountfor us to share in the ratio of 60% for me and 30% foryou and 10% for the expencis that we are going to makeboth local and international during this processofthis transacation.There is no risk at all the paperwork for thistransaction will be done by the attorney and myposition as the Branch accountant guarantees thesuccessful execution of this transaction. If youare interested please reply immediately via theprivate email address below.(jacobuderike@yahoo.com)Upon your response Ishall then provide you with more details and relevantdocuments that will help you understand.Please observe utmost confidentiality and restassured that this transaction would be most profitablefor both of us because I shall require your assistanceto invest my share in your country.Thanks and regards.Mr.JACOB UDERIKE,8,8,8_address_address got_did declare_deposit paperwork,"['address', 'address got', 'did declare', 'deposit paperwork', 'deposit', 'urgent', '000 00', '00', 'utmost confidentiality', 'paperwork']"
Dear Friend I am contacting you in regards to a business transfer of a hugh sum of money from a deceased account. Though I know that a transaction of this magnitude will make any one apprehensive and worried but I am assuring you that all will be well at the end of the day. We decided to contact you due to the urgency of this transaction.PROPOSITION;We discovered an abandoned sum of $14 300 000.00 (Fourteen Million Three Hundred Thousand Dollars) in an account that belongs to one of our foreign customers who died along with his entire family. Since his death none of his next-of-kin or relations has come forward to lay claims to this money as the heir.We cannot release the fund from his account unless someone applies for claim as the next-of-kin to the deceased as indicated in our banking guidelines. Upon this discovery we now seek your permission to have you stand as a next of kin to the deceased as all documentations will be carefully worked out by us for the funds ($14 300 000.00) to be released in your favour as the beneficiary's next of kin.It may interest you to note that we have secured from the probate an order of madamus to locate any of deceased beneficiaries.Please acknowledge receipt of this message in acceptance of our mutual business endeavour by furnishing me with the following;1. Beneficiary name and address.2. Direct Telephone and fax numbers.These requirements will enable us file a letter of claim to the appropriate departments for necessary approvals in your favour before the transfer can be made. We shall be compensating you with 25% on final conclusion of this project while the rest shall be for us. Your share stays with you while the rest shall be for us for investment purposes.If this proposal is acceptable by you do not take undue advantage of the trust we have bestowed in you.I await your urgent mail.Regards Mr.Frank Jim.N:B-Reply me through this email address:frank_jim2@europe.com,4,4,4_proceeds account_account_executed legitimate_lodged,"['proceeds account', 'account', 'executed legitimate', 'lodged', 'account valued', 'contacted', 'issued', 'proceeds', 'issued notice', 'barrister']"
Standard Trust Bank=2C15=2C Adeola odeku Street=2CVictoria Island=2CLagos=2E24th July=2C 2003Alternative email address=3A randebe=40cote=2Eazur=2EfrDear Friend I am Fadaka Randebe=2C Bank Official of Standard Trust Bank ofNigeria =2C Adeola Odeku Branch=2E I have urgent and veryconfidential business proposition for you=2E On June 61998=2C a gold merchant=2Fcontractor with the Randgold Exploration Company=2C Mr=2E Jim Smith made anumbered time =28Fixed=29 deposited fortwelve calendar months=2C valued at US$25=2C000=2C000=2E00=28Twenty-five Million Dollars=29 in my branch=2E Upon maturity=2C I sent a routine notification to hisforwarding address but got no reply=2E After a month=2C wesent a reminder and finally we discovered from hiscontract employers=2C Randgold Exploration company Ltdthat Mr=2E Jim Smith died from an automobile accident=2EOn further investigation=2C I foundout that he did not leave a WILL and all attempts totrace his next of kin were fruitless=2E I therefore madefurther investigation and discovered that Mr=2E JimSmith did not declare any next of kin in all hisofficial documents=2C including his Bank Depositpaperwork=2E This sum of US$25=2C000=2C000=2E00 is still sitting in theBank and the interest is being rolled over with theprincipal sum at the end of each year=2E No one willcome forward to claim it=2E According to the NigerianLaw=2C at the expiration of 5 =28five=29 years=2C the moneywill revert to the ownership of the NigerianGovernment if nobody applies to claim the funds=2EConsequently=2C my proposal is that I will like you as aforeigner to stand in as the next of kin to Mr=2E JimSmith so that the fruits of this old man's labour willnot get into the hands of some corrupt officials=2E Thisis simple=2C I will like you to provide me immediatelywith your full names and address so that the attorneywill prepare the necessary documents and affidavits=2Cwhich will put you in place as the next of kin=2E Iwould also like you to scan you drivers license forme=2EWe shall employ the services of two attorneys fordrafting and notarization of the WILL and obtain thenecessary documents and letter ofprobate=2Fadministration in your favour for thetransfer=2E Abank account in any part of the world=2C which youprovide=2C will then facilitate the transfer of thismoney to you as the beneficiary=2Fnext of kin=2E The moneywill be paid into your account for us to share in theratio of 70% for me and 30% for you=2E There is no riskat all as all the paperwork for this transaction willbe done by the attorney and my position as the Branchofficial guarantees the successful execution of thistransaction=2E If you are interested=2C please reply immediately=2E Uponyour response=2C I shall then provide you with moredetails and relevantdocuments that will help you understand=2E Pleaseobserve utmost confidentiality=2C and rest assured thatthis transaction would be most profitable for both ofus because I shall require your assistance to investmy share in your country=2E Awaiting your urgent reply via my alternative email address=2E Thanks and regards=2C Fadaka Randebe=2E,8,8,8_address_address got_did declare_deposit paperwork,"['address', 'address got', 'did declare', 'deposit paperwork', 'deposit', 'urgent', '000 00', '00', 'utmost confidentiality', 'paperwork']"
Mrs=2ELydia JohnsonC=2Fo Eglise Ouganda =28Catholic church =29Liberte Sicap 1=2CDakar Senegal Hello=2CGood Day=2E Compliment of the season=2E I know this mail will come to you as a surprise=2E Nevertheless I am Mrs=2ELydia Johnson=2C the wife of Major Doncan Johnson=2C Chief Security Officer and Aide-de=96camp to the exiled president Charles Tailor of Liberia=2E As a result of the on-going problem in my country=2C I am saddled with problems of my ill-health of protracted diabetes and high blood pressure which is getting of increase in the recent times=2C moreimportantly getting a trust worthy individual abroad to receive the sum of US$8Million deposited=2Fregistered inform of a consignment contained with computer accessories for security reason with a secuirty company on my name as the next of kin to my late husband which I intend to invest in your country=2E Due to this crises presently in my city Monrovia our home town=2C I managed to sneak myself=2C my only son Patrick 23 years old and my daughters out of Monrovia to Dakar senegal for safety=2E We were sneaked into Dakar Senegal through the land boarder by the help of some government militant group=2EAfter the killing of my husband by the rebels=2C we decided to come down here to Dakar senegal to secure the said deposit made in this country by my husband and to also look for a trust worthy individual abroad to receive the deposit which has being deposited here in Dakar Senegal before he was killed by the heartless rebels=2E I feel confident therefore to introduce myself to you based on this problem and our present condition as all our foreign contacts and connections got lost during this crises=2C all properties burnt by the rebels=2E I am desperately in need to move and re-locate this huge deposit to your country for safe keeping as this is the only wealth remaining for the future survival and well being of my family=2EFor your percentage for assistance=2C a negotiable percentage will be discussed as soon as I receive your response based on this plead for your assistance as our lives are highly in danger due to this problem=2E I pray and plead for your help=2E Please endavour to email meback for further clarifications over this issue=2EGod bless you as you respond to my plea for assistance=2EOur telephone will be open for your call any time but if I am not available at the time of your call=2C my son Patrick will respond to you accordingly=2E Yours truly=2EMrs Lydia Johnson=2E,0,0,0_invest_investment_deposit_contact,"['invest', 'investment', 'deposit', 'contact', '000', 'security company', 'foreign', 'business', 'account', 'million']"
Greetings to YouDear Friend =20My name is Mr Dennis Stevenson The=20Chairman of the Board of Directors bank of=20Scotland United Kingdom.I have only written to seek your help and assistance.I wish to make a=20transfer of money involving a huge amount of money worth (Fifteen-million pounds sterlings) (=C2=A315 000 000.00)pounds sterlings.I am=20proposing to make this transfer to a any bank account of your choice.Thus i need your help and support. I propose an offer of 45% of the=20total amount to be your own share after the transfer has been=20successfully concluded while 50% will be for my family and I. Why 5%=20will be for any expenses we made during the transfer process.Kindly=20reply me stating your interest and I shall give you the details and=20necessary proceedure in which to make the transfer.I anxiously await=20your response Send your replies to =20Thanks and Godbless you.Thanks and God bless you.Mr Dennis Stevenson.,9,9,9_foreign account_beneficiary_account mr_000 00,"['foreign account', 'beneficiary', 'account mr', '000 00', 'regards claiming', 'account foreigner', 'accounts holding', 'contact', 'owner account', 'risk troubles']"
Abacha Housing EstateGidado Road Kano-Nigeria (N/B) ***This message to you contains strictly confidential informationwhich should be handled confidentially.As soon as you show intrest youcan help all necessary documents shall be forwarded to you including allidentities(My personal and family pictures)*** Asalam alekum I salute you in the name of most High Allah. I am Mrs. MaryamAbacha the widow of the late Gen. Sani Abacha former militaryHead of State who died mysteriously as a result of cardiacarrest. Since my husband's death my family has been underrestriction of movement and that notwithstanding we are beingmolested and constantly under ?watch? by the seemingly agent aboveall our banks account here and abroad have been frozen by theNigerian civilian government. Furthermore my eldest son is indetention by the Nigerian Government for more interrogation aboutmy husband's asset and some vital documents. Following the recent discovery of my husband's bank account bythe Nigerian government with my son's bank in which a huge sum ofUS$700 million and 450 million Dutch Mark was lodged and 6billion dollars belonging to my late husband was seized by thegovernment of Nigeria. I therefore wish to personally appeal toyou seriously and religiously for your urgent assistance totransfer the sum of $25.5 million United States Dollars into youraccount in your country which has already been lodged in a Globalcrossing Diplomatic ?security? in abroad by my Late Husband and Ihavea prove of the Certificate of Deposit with the telephone and faxnumber of the ?security? company in abroad the name of the head ofoperation including the telephone and fax number of the agencywhom help in packaging the consignment. since we can not leavethe country due to the restriction of movement imposed on themembers of my family by the Nigerian Government and myInternational passport impounded at the Murtala Mohammed International Airport Lagos in August 1998 and presently the consignment is incurringmore demurrage and if the government discovered they might seizethe fund (consignment) that was the reason I was advise by ourFamily lawyer for the safety of the fund to look for an honestand reliable foreigner who is willing to be of assistant toenable the fund to be transfer to his account while you areentitled to 25% of the fund while 5% is for any expenses whichmight include your phone calls stationary which must bededucted before sharing. Also if you accept this proposal I shall give you the telephoneand fax number of the ?security? company in abroad where theconsignmentis lodge including agency for verification and you shall as wellforward your data including your telephone and fax number to ourFamily Lawyer who shall help in the legal documentation to makeyou the legal owner of the fund by a prove of an affidavit fromthe Federal High Court for a change of fund ownership by me whichmy lawyer shall forward with an application to the Court toenable the court to issue an legal clearance certificate as aprove that the fund is no longer belong to ABACHA FAMILY but youas the new beneficiary which will now empowered the Securitycompany to release the consignment (fund) to you.Please I will appreciate your quick response weather you acceptthis proposal or not to enable me to know the next step of actionand please you can as well use your name or your company name asthe beneficiary of the fund (consignment ) Yours Sincerely Mrs Maryam Abacha [***Striclty confidential***]Pour gagner une Playstation 2 envoyez un SMS avec le code PS au 61321 (0 35 euro hors co=FBt du SMS). =_NextPart_Lycos_0023161064031731_ID,10,10,10_account_accounts_seized_contact,"['account', 'accounts', 'seized', 'contact', '000', 'firm', 'nigerian', 'attorney', 'million', 'dollars']"
My name is Mrs=2E hilda Ahmed from Iraq=2E I am married to Dr=2EHassan Ibrahim=2C who worked with shell Petroleum Company in Iraq for twelve years before he died after a brief illness=2E We were married for eight years without a child=2E Since we married we were bothIslamic couple members=2E After his death I decided not to re-marry or get a child outside my matrimonial home=2E When my late husband was alive he deposited the sum of$6=2E5 Million =28six million five hundred thousand U=2ES=2EDollars=29 with International Diplomatic service firm in Malaysia with purpose to invest the fund in Islamic foundation before death took him=2C The fund is stillunder safe keeping with the International Diplomatic firm in Malaysia=2C hence and contacting you to help me to achieve this project in your country=2E During the current war in my country all the property and the asset of my husband were destroyed I don=92t have anything left on behalf of my husband except this fund that=92s deposited with the Diplomatic service company in Malaysia=2C now am undergoing a serious sickness thatresulted to be stroke and cancer problem=2C I had tried all my best to treat myself with every medical expert but there is no improvement=2C Currently my Doctor told me that I would not last for the next three months due to my cancer problems=2E Having known my condition=2C Idecided to donate this fund to mosque=2C Islamic school authority or better Muslim individual that will utilize this money the way I instruct here=2E I want this fund to be disbursing to=2C orphanages=2C widows promoting the work of almighty Allah=2C needies and to promote work of almighty Allah in your country=2E The Koran made us to understand that blessed is the hand that gives=2E I took this decision because I don=92t have any child that will inherit this money and my husband relatives are Christians and unblivers=2EI don=92t want my husband hard earned money to be misused by unbelievers because I know he will be rejoicing in the blossom of Allah if these fund spend to promote the work of almighty Allah=2E I don=92t want a situation where this money will be used in an ungodly manner=2E Hence the reason for taking this bold decision=2E I am not afraid of death hence I know where I am going=2E I know that Iam going to be in the heaven=2E I don=92t need any telephone communication in this regard because my health and the presence of my husband relatives around me always=2E I don=92t want them to know about this development=2E With Allah all things are possible=2E Assoon as I receive your reply i will instruct to the DIPLOMATIC operation manager and my husband lawyer in Malaysia to furnish you with more details on how toreceive my fund=2E I will also instruct him to issue you a letter of authority that will empower you as theoriginal-beneficiary of this fund=2E I want you and the Muslim to always pray for me because in almighty Allah I put my hope=2E My happiness is that I lived a life of a worthy Muslim=2E Whosever that wants to serve Allah must serve him in spirit and truth=2E Please always beprayerful all through your life=2E And reply me through my alternative e-mail address as delay in your reply will give me room in sourcing for a another faith member for this same purpose=2E Please assure me that you will act accordingly as I stated here in=2E As i am disabled and can not be able to move around and do much due to am presently very ill=2C I will really appreciate it for you to contact me through my Email address=2E=28hilda=5Fahmed=40excite=2Ecom=29 as the internet is my only mean of communicating=2E Or through the help of nurse here who is so kind to assist me in thehospital and taking care of me =28fahmeedabdiwahad=40excite=2Ecom =29Hoping to hear from you soonest=2ERemain blessed in the name of the Allah=2E Wassalam=2EMrs=2E Hilda Ahmed =2E,6,6,6_utilize money_inherit money_want situation_receive reply,"['utilize money', 'inherit money', 'want situation', 'receive reply', 'alive deposited', 'deposited sum', 'money used', 'donate', 'presently', 'receive']"
Dear friend As you read this I don't want you to feel sorry for me because I Believe Everyone will die someday. My name is JAIN HAGIS I am a merchant of Oman Nationality but presently residing in London. I have been diagnosed withOesophageal cancer .It has defiled all forms of medical treatment and Right now I have only about a few months to live according to medical experts.I have not particularly lived my life so well as I never really cared for Anyone (not even myself) but my business. Though I am very rich I was never generous I was always hostile to people and only focused on my business as that was the only thing I cared for. But now I regret all this as I now know that there is more to life than just wanting to have or make all the money in the world.I believe when God gives me a second chance to come to this world I would live my life a different way from how I have lived it. Now that God has called me I have willed and given most of my property and assets to my immediate and extended family members as well as a few close friends.I want God to be merciful to me and accept my soul so I have decided to give alms to charity organizations as I want this to be one of the last good deeds I do on earth. So far I have distributed money to some charity organizations in the Oman Algeria and Malaysia. Now that my health has deteriorated so badly I cannot do this myself anymore. I once asked members of my family to close one of my accounts and distribute the money which I have there to charity organization in Bulgaria and Pakistan they refused and kept the money to themselves. Hence I do not trust them anymore as they seem not to becontended with what I have left for them. The last of my money which no one knows of is the huge cash deposit of Eighteen million united state dollars $18 000 000 that I have with finance/Security Company in europe. I will want you to help me collect this deposit and dispatche it to charity organizations. I have set aside 20% for you and for your time.God be with you.mr. JAIN HAGISI will not want you to send me an email on this box. I will want you to send me an email on this box {jahagis3@myway.com}. This is because my brother saw me when I was sending this email to you and I will not want them to know that I am in contact with you. MailMN-Mongol Tumnii Email.,11,11,11_willed_money charity_charity_charity organization,"['willed', 'money charity', 'charity', 'charity organization', 'want god', 'charity organizations', 'help collect', 'believe god', 'left money', 'money world']"
Dear Friend. As you read this I don't want you to feel sorry for me because I believe everyone will die someday. My name is Saidi Fatou a merchant in Dubai in the U.A.E.I have been diagnosed with Esophageal cancer which was discovered very late due to my laxity incarrying for my health. It has defiled all forms of medicine and right now I have only about a few months to live according to medical experts. I have not particularly lived my life so well as I never really cared for anyone not even myself but my business. Though I am very rich I was never generous I was always hostile to people and only focus on my business as that was the only thing Icared for. But now I regret all this as I now knowthat there is more to life than just wanting to have or make all the money in the world.I believe when God gives me a second chance to come to this world I would live my life a different way from how I have lived it. Now that God ! has called me I have willed and given most of my properties and assets to my immediate and extended family members and as well as a few close friends. I want God to be merciful to me and accept my soul and so I have decided to give alms to charity organizations as I want this to be one of the last good deeds I do on earth. So far I have distributed money to some charity organizations in the U.A.E Algeria and Malaysia. Now that my health has deteriorated so badly I cannot do this my self any more. I once asked members of my family to close one of my accounts and distribute the money which I have there to charity organization in Bulgaria and Pakistan they refused and kept the money to themselves. Hence I do not trust them anymore as they seem not to be contended with what I have left for them. The last of my money which no one knows of is the huge cash deposit of twenty four million dollars that I have with a Bank in london. I will want you to help me collect this deposit anddispatched it to charity organizations.email me at giversworld@fastermail.com I have set aside 10% for you for your time and patience.God be with you. Saidi Fatou. Get free email address your_name@moldova.com at Gateway to Moldova! Select your own custom email address for FREE! Get you@yourchoice.com w/No Ads 6MB POP & more!,11,11,11_willed_money charity_charity_charity organization,"['willed', 'money charity', 'charity', 'charity organization', 'want god', 'charity organizations', 'help collect', 'believe god', 'left money', 'money world']"
FROM:THE DESK OF ENG.CLICF WANTOM NIGERIA NATIONAL PETROLEUM CORPORATION (NNPC) LAGOS-NIGERIA . Email:clicfwanton@rixmail.se Dear Friend It is with trust and confidence that I write to reveal this urgent business relationship to you. I was assigned by two of my colleagues to seek for a foreign partner who will assist us in providing a convenient account in a designated bank overseas for the transfer of US$32 000 000.00 (Thirty Two Million United States Dollars Only) pending our arrival in your country for utilization and disbursement of the fund with the owner of the account where the fund would be transferred into. On the 23rd of January 1996 our corporation the Nigeria National Petroleum Corporation (NNPC) awarded a contract of $120 000 000.00 ( One Hundred and Twenty Million United States Dollars) but I and my colleagues being members of the contract award committee inflated the contract sum to the tune of US$152 000 000.00 with the intention of sharing the remaining balance of US$32 000 000.00 among ourselves. The contract has been successfully executed and the actual contractors have been paid their US$120 000 000.00 ( One Hundred and Twenty Million United States Dollars) in full. But what we want to transfer out of the country in our favour for disbursement is US$32M. balance My colleagues and I have agreed that if you / your company can act as the beneficiary of this fund we will transfer the funds to your account and you will retain 30% of the total fund for assistance rendered while we will retain 60% of the total fund and the balance of 10% of the fund will be set aside for the offsetting of all expenses that might be incurredby both parties during the fund transfer process. We request you cooperate with us and provide a convenient account number in a designated bank where this fund can be safely transferred to we intend to come over to your country on the completion of the fund transfer to secure our own share of the funds. THE NATURE OF YOUR BUSINESS IS NOT PARTICULARLY RELEVANT FOR THE CCESS OF THIS TRANS ACTION. ALL WE REQUIRE IS YOUR WELLINGNESS TO CO-OPERATE AND ASSURANCE THAT OUR OWN SHARE WILL BE GIVEN TO US WHEN THIS MONEY IS TRANSFERRED INTO YOUR ACCOUNT.ALL NECESSARY PRECAUTIONS HAVE BEEN TAKEN TO TO ENSURE A NO RISK SITUATION ON THE SIDE OF BOTHPARTIES AND IT IS BELIEVED THAT THIS TRANSACTION WILL LAST 20 WORKING DAYS BARRING ANY DELAYS. SINCE WE HAVE NO KNOWLEDGE OF BUSINESS OUR PLAN IS TO INVEST THIS MONEY INTO REAL ESTATE STOCK AND PERHAPS IMPORTATION OF GOODS FROM YOUR COUNTRY BASED ON YOUR ADVISE BECAUSE MANY OF OUR YEARS HAS BEEN SPENT AS CIVIL SERVANT AND WE MAY LIKELY RESIGN FROM GOVERMENT SERVICE TO PRIVATE BUSINESS AFTER THIS MONEY IS TRANFERED INTO YOUR ACCOUNT. Please note that we have been careful and have worked out all the modalities for a smooth transfer of the fund to your designated Bank Account before contacting you. We would therefore not want you to expose this proposal to anybody for the purpose of SECURITY and its CONFIDENTIALITY. We alsobelieve you would not sit on our money when it is transferred eventually into your account as you get your 30% share. Please be rest assured that this transaction is 100% risk free.,1,1,1_foreign account_payment_transferred_contract awarded,"['foreign account', 'payment', 'transferred', 'contract awarded', 'nigerian', 'contract award', 'beneficiary', 'paid', 'national petroleum', 'invoiced']"
Dear friend I hope this meets you in good health. My name is Antonio Rodrigo a legal practitioner and Attorney to late Mr. Harley Grahams who died in the Madrid bomb Blast of March 11th 2004 . My late client was an influential wealthy businessman a British Contractor and a big time Oil dealer and the Principal owner of Oil Alliance Company and he left behind a substantial amount of millions of money with a Security and Finance company here in Madrid Spain . The total Amount in question is ( US$10 000.000.00) Ten Million U.S. dollars only. However I would like both of us to work together and pull this fund out from the security company where it is presently being held in trust for the deceased. Please provide me with your direct confidential contact details in your reply to this email should you be interested in cooperating with me. I assure you of my utmost confidentiality and transparency in this transaction as you will be adequately rewarded. Please kindly oblige me your confidential phone number in your reply to this email so that I can call first to speak with you as there are a lot of information that I can not divulge over the internet for security reasons. I will give you more details as soon as I received your reply urgently. Kindly send your swift reply with your direct phone number to my confidential email address below.Email; antoniorodrigo@sify.com [mailto:antoniorodrigo@sify.com] Yours truly Antonio Rodrigo Madrid-Spain.Email; antoniorodrigo@sify.com [mailto:antoniorodrigo@sify.com] Der WEB.DE SmartSurfer hilft bis zu 70% Ihrer Onlinekosten zu sparen! * [,4,4,4_proceeds account_account_executed legitimate_lodged,"['proceeds account', 'account', 'executed legitimate', 'lodged', 'account valued', 'contacted', 'issued', 'proceeds', 'issued notice', 'barrister']"
